20:09:58.609 [main] INFO  z.dividend.DividendApplication - Starting DividendApplication using Java 11.0.18 on LAPTOP-1P40IUAI with PID 18544 (C:\_dev\IntelliJ_workspace\dividend\dividend\build\classes\java\main started by user in C:\_dev\IntelliJ_workspace\dividend)
20:10:00.262 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.75]
20:10:00.400 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
20:10:00.401 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1690 ms
20:10:00.441 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
20:10:00.565 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
20:10:00.575 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:dividend'
20:10:00.745 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
20:10:00.804 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
20:10:00.944 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
20:10:01.068 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
20:10:01.822 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
20:10:01.835 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
20:10:02.482 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
20:10:02.796 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/h2-console/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
20:10:02.796 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/h2-console/**']
20:10:02.833 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3ace65df, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@52b6561b, org.springframework.security.web.context.SecurityContextPersistenceFilter@6dbdbb69, org.springframework.security.web.header.HeaderWriterFilter@3da55998, org.springframework.security.web.authentication.logout.LogoutFilter@5fd5d6d1, zerobase.dividend.security.JwtAuthenticationFilter@6a0ee80, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1d988297, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@23f539df, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7505dcab, org.springframework.security.web.session.SessionManagementFilter@7369208e, org.springframework.security.web.access.ExceptionTranslationFilter@99af41d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@167f9043]
20:10:03.512 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
20:10:03.551 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
20:10:03.571 [main] INFO  z.dividend.DividendApplication - Started DividendApplication in 5.557 seconds (JVM running for 6.475)
20:10:30.819 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
20:10:30.820 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
20:10:30.822 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
20:10:41.407 [http-nio-8080-exec-3] INFO  zerobase.dividend.web.AuthController - user login -> Hello
20:11:00.426 [http-nio-8080-exec-4] INFO  z.d.security.JwtAuthenticationFilter - [Hello] -> /company
